id,mean,std
953777,6.59375,1.4918397827850014
954222,6.579365079365079,1.4819183974019376
953889,6.5538461538461545,1.549498869170975
953550,6.746153846153845,1.3434258071841123
953283,6.755555555555556,1.3579214326624167
954067,6.785185185185185,1.384491805067491
954013,6.75,1.468739925819738
953097,7.389312977099237,1.4856695567374083
953785,6.728682170542635,1.538911011246207
953979,6.866141732283465,1.5077866383680063
954076,6.5234375,1.3402707501075108
953961,6.620155038759689,1.2770714952068891
953816,7.3125,1.4238482187368149
954188,7.152,1.4313965208844124
771213,6.6725146198830405,1.5477975650639322
770897,6.930635838150288,1.5860075116227286
770486,6.959537572254335,1.4677984044489136
771233,6.621301775147929,1.57975976304366
771399,7.162011173184357,1.3989255173979471
771547,6.526315789473684,1.6730257265097743
771111,6.760479041916168,1.3277759570333123
770854,6.954802259887006,1.4372730340676994
930254,6.636363636363637,1.464869776243432
930390,6.562162162162164,1.6725690469892944
930236,6.632124352331607,1.630157545098693
930665,6.580645161290323,1.457812329508838
930401,6.547872340425532,1.4339521879477204
930040,6.641414141414141,1.4276143907543484
444465,6.619266055045872,1.5932758398004336
444966,7.078703703703703,1.4587888765282586
445367,6.648401826484019,1.6986792353094653
149173,6.661246612466124,1.5915221077318071
149553,7.537234042553191,1.911248007251828
149516,7.446236559139786,1.8109024150801163
775041,6.666666666666666,1.247219128924647
774871,6.755208333333333,1.4886633960023408
774066,6.666666666666666,1.4193561741149323
775082,7.026041666666667,1.4268076832322412
774846,6.914438502673797,1.5592247766028122
775015,7.036269430051813,1.4588413920643304
775308,6.789473684210527,1.280581585325941
775661,6.5212765957446805,1.4271584877043997
775532,6.912820512820514,1.3802971599752114
775702,7.045918367346939,1.651509412711561
689114,7.207885304659498,1.5026173727612204
689637,7.4522968197879855,1.4945200336493605
689641,6.8531468531468525,1.6743980943712735
688533,6.8483754512635375,1.5100526791120197
688205,7.388278388278388,1.6294479737189351
689784,6.807407407407407,1.5491756292672243
689170,6.7142857142857135,1.5824290292626275
689558,7.260714285714285,1.4951921247103723
689702,7.7188612099644125,1.7744630139438702
689805,6.956363636363637,1.6331524046639077
689738,6.715827338129498,1.2786998226225452
